Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23034,1998,11,24.4,Y
IDCJAC0001,23034,1998,12,11.6,Y
IDCJAC0001,23034,1999,01,17.2,Y
IDCJAC0001,23034,1999,02,2.0,Y
IDCJAC0001,23034,1999,03,53.6,Y
IDCJAC0001,23034,1999,04,8.4,Y
IDCJAC0001,23034,1999,05,61.0,Y
IDCJAC0001,23034,1999,06,70.0,Y
IDCJAC0001,23034,1999,07,51.2,Y
IDCJAC0001,23034,1999,08,20.4,Y
IDCJAC0001,23034,1999,09,57.4,Y
IDCJAC0001,23034,1999,10,57.0,Y
IDCJAC0001,23034,1999,11,35.2,Y
IDCJAC0001,23034,1999,12,32.8,Y
IDCJAC0001,23034,2000,01,3.0,Y
IDCJAC0001,23034,2000,02,57.0,Y
IDCJAC0001,23034,2000,03,26.6,Y
IDCJAC0001,23034,2000,04,52.4,Y
IDCJAC0001,23034,2000,05,54.8,Y
IDCJAC0001,23034,2000,06,74.8,Y
IDCJAC0001,23034,2000,07,45.8,Y
IDCJAC0001,23034,2000,08,50.6,Y
IDCJAC0001,23034,2000,09,59.0,Y
IDCJAC0001,23034,2000,10,66.6,Y
IDCJAC0001,23034,2000,11,11.6,Y
IDCJAC0001,23034,2000,12,11.8,Y
IDCJAC0001,23034,2001,01,2.0,Y
IDCJAC0001,23034,2001,02,10.8,Y
IDCJAC0001,23034,2001,03,29.6,Y
IDCJAC0001,23034,2001,04,17.6,Y
IDCJAC0001,23034,2001,05,78.0,Y
IDCJAC0001,23034,2001,06,80.6,Y
IDCJAC0001,23034,2001,07,39.4,Y
IDCJAC0001,23034,2001,08,63.8,Y
IDCJAC0001,23034,2001,09,96.6,Y
IDCJAC0001,23034,2001,10,64.0,Y
IDCJAC0001,23034,2001,11,40.4,Y
IDCJAC0001,23034,2001,12,12.0,Y
IDCJAC0001,23034,2002,01,16.2,Y
IDCJAC0001,23034,2002,02,0.4,Y
IDCJAC0001,23034,2002,03,10.2,Y
IDCJAC0001,23034,2002,04,7.6,Y
IDCJAC0001,23034,2002,05,65.0,Y
IDCJAC0001,23034,2002,06,45.0,Y
IDCJAC0001,23034,2002,07,70.6,Y
IDCJAC0001,23034,2002,08,21.4,Y
IDCJAC0001,23034,2002,09,29.6,Y
IDCJAC0001,23034,2002,10,15.8,Y
IDCJAC0001,23034,2002,11,35.2,Y
IDCJAC0001,23034,2002,12,6.0,Y
IDCJAC0001,23034,2003,01,23.4,Y
IDCJAC0001,23034,2003,02,59.4,Y
